Timestamp,Voltage (V),Current (A),Power (W)
2025-06-12 12:56:46,122.989,0.056,6.914
2025-06-12 12:56:46,122.968,0.056,6.878
2025-06-12 12:56:47,123.108,0.056,6.833
2025-06-12 12:56:48,123.063,0.056,6.893
2025-06-12 12:56:49,123.1,0.056,6.894
2025-06-12 12:56:50,123.05,0.056,6.892
2025-06-12 12:56:51,123.071,0.055,6.83
2025-06-12 12:56:53,122.72,0.056,6.905
2025-06-12 12:56:54,121.171,0.055,6.694
2025-06-12 12:56:55,117.77,0.056,6.542
2025-06-12 12:56:56,120.338,0.056,6.684
2025-06-12 12:56:57,123.062,0.057,6.954
2025-06-12 12:56:59,122.912,0.055,6.793
2025-06-12 12:57:00,123.1,0.055,6.812
2025-06-12 12:57:01,123.018,0.056,6.922
2025-06-12 12:57:02,123.004,0.057,6.963
2025-06-12 12:57:03,122.883,0.056,6.917
2025-06-12 12:57:05,123.103,0.056,6.849
2025-06-12 12:57:06,123.112,0.056,6.889
2025-06-12 12:57:07,123.064,0.057,6.955
2025-06-12 12:57:08,123.197,0.056,6.885
2025-06-12 12:57:09,122.919,0.056,6.893
2025-06-12 12:57:11,123.051,0.056,6.915
2025-06-12 12:57:12,123.128,0.056,6.868
2025-06-12 12:57:13,122.992,0.056,6.847
2025-06-12 12:57:14,122.836,0.056,6.885
2025-06-12 12:57:15,122.954,0.056,6.876
2025-06-12 12:57:17,123.061,0.056,6.91
2025-06-12 12:57:18,122.903,0.056,6.86
2025-06-12 12:57:19,122.96,0.056,6.859
2025-06-12 12:57:20,123.037,0.056,6.875
2025-06-12 12:57:21,122.946,0.056,6.875
2025-06-12 12:57:23,122.924,0.056,6.933
2025-06-12 12:57:24,122.946,0.055,6.796
2025-06-12 12:57:25,122.968,0.056,6.909
2025-06-12 12:57:26,122.986,0.056,6.882
2025-06-12 12:57:27,122.941,0.056,6.865
2025-06-12 12:57:29,122.933,0.056,6.877
2025-06-12 12:57:30,123.001,0.056,6.903
2025-06-12 12:57:31,123.055,0.056,6.869
2025-06-12 12:57:32,122.451,0.056,6.918
2025-06-12 12:57:33,120.365,0.056,6.681
2025-06-12 12:57:35,117.879,0.056,6.563
2025-06-12 12:57:36,121.316,0.055,6.679
2025-06-12 12:57:37,122.827,0.056,6.863
2025-06-12 12:57:38,122.882,0.055,6.768
2025-06-12 12:57:39,122.832,0.056,6.896
2025-06-12 12:57:41,122.835,0.056,6.861
2025-06-12 12:57:42,122.886,0.056,6.831
2025-06-12 12:57:43,122.912,0.057,6.994
2025-06-12 12:57:44,122.964,0.056,6.856
2025-06-12 12:57:45,122.868,0.056,6.85
2025-06-12 12:57:47,122.898,0.056,6.897
2025-06-12 12:57:48,122.884,0.056,6.877
2025-06-12 12:57:49,122.94,0.056,6.831
2025-06-12 12:57:50,122.879,0.055,6.812
